Country,Date,Name,Type,Amount,Comments
,2026-01-09,grocery,Food,$3.24,
,2026-01-09,food at camp,Food,$20.00,
,2026-01-09,azn food,Food,$8.88,
,2026-01-09,Berlin food,Food,$9.97,
,2026-01-09,gloves,Misc,$4.44,
,2026-01-09,toothpaste ,Misc,$1.68,
,2026-01-09,mcd,Food,$3.31,
,2026-01-10,bus,Travel,$20.99,
,2026-01-10,Apartament Maryna & Joanna,Hotel,$71.33,
,2026-01-10,app test,Travel,$2.50,
,2026-01-10,snack,Food,$2.39,
,2026-01-10,pubic transportation ,Travel,$2.22,
,2026-01-10,grocery,Food,$36.65,
,2026-01-11,Apartament Maryna & Joanna,Hotel,$71.33,
,2026-01-11,bear,Food,$1.66,
,2026-01-11,snow Mobile ,Activity,$110.04,
,2026-01-11,uber,Travel,$18.03,
,2026-01-11,dinner,Food,$31.04,
,2026-01-11,uber,Travel,$17.38,
,2026-01-12,Apartament Maryna & Joanna,Hotel,$71.33,
,2026-01-12,public transportation,Travel,$2.22,
,2026-01-12,a15 bus,Travel,$3.88,
,2026-01-12,tubing,Activity,$29.14,
,2026-01-12,bus,Travel,$3.33,
,2026-01-12,pubic transportation ,Travel,$2.22,
,2026-01-12,grocery,Food,$27.74,
,2026-01-13,bus,Travel,$17.48,
,2026-01-13,train,Travel,$16.04,
,2026-01-13,Nobu Hotel,Hotel,$0.23,the edit hotel + points
,2026-01-13,pubic transportation ,Travel,$2.22,
,2026-01-13,bathroom,Misc,$0.83,
,2026-01-13,fish and chips,Food,$10.27,
,2026-01-13,nobu dinner,Food,$30.92,
,2026-01-14,Nobu Hotel,Hotel,$0.23,the edit hotel + points
,2026-01-15,WAW - BUD,Travel,$119.13,
,2026-01-15,Hampton by Hilton Budapest City Centre,Hotel,$0.00,hilton points
,2026-01-16,Hampton by Hilton Budapest City Centre,Hotel,$0.00,hilton points
,2026-01-17,Hampton by Hilton Budapest City Centre,Hotel,$0.00,hilton points
,2026-01-18,Airport Hotel Budapest,Hotel,$79.69,
,2026-01-19,BUD - BER,Travel,$44.54,
,2026-01-19,IntercityHotel Berlin Central Station,Hotel,$74.45,
,2026-01-20,IntercityHotel Berlin Central Station,Hotel,$74.45,
,2026-01-21,train,Travel,$8.19,
,2026-01-21,ibis Hamburg Alsterring,Hotel,$79.47,
,2026-01-22,ibis Hamburg Alsterring,Hotel,$79.47,
,2026-01-23,ibis Hamburg Alsterring,Hotel,$79.47,
,2026-01-24,train,Travel,$24.57,
,2026-01-24,Hotel NH Hannover,Hotel,$93.97,
,2026-01-25,Hotel NH Hannover,Hotel,$93.97,
,2026-01-26,train,Travel,$24.57,
,2026-01-26,COZY by Interior Apartments,Hotel,$84.62,
,2026-01-27,COZY by Interior Apartments,Hotel,$84.62,
,2026-01-28,train,Travel,$24.57,
,2026-01-28,Kimpton Main Frankfurt by IHG,Hotel,$0.00,
,2026-01-29,flight to japan,Hotel,$0.00,used points
,2026-01-30,APA Hotel & Resort Yokohama Bay Tower,Hotel,$83.70,
,2026-01-31,Field Hakone Resort,Hotel,$98.17,
,2026-01-31,cup noodle museum,Activity,$12.78,
,2026-02-01,Field Hakone Resort,Hotel,$98.17,
,2026-02-02,Field Hakone Resort,Hotel,$98.17,
,2026-02-03,Dormy Inn Abashiri Natural Hot Spring,Hotel,$139.48,
,2026-02-03,flight,Travel,$170.08,
,2026-02-04,Dormy Inn Abashiri Natural Hot Spring,Hotel,$139.48,
,2026-02-04,"Abashiri Drift Ice Sightseeing ＆ Icebreaker Ship ""Aurora""",Activity,$82.18,
,2026-02-05,Dormy Inn Abashiri Natural Hot Spring,Hotel,$139.48,
,2026-02-06,Dormy Inn Abashiri Natural Hot Spring,Hotel,$139.48,
,2026-02-07,Tasogare Apartment 101,Hotel,$52.10,
,2026-02-07,train to sapporo,Travel,$155.48,
,2026-02-07,train to hakodate,Travel,$139.68,
,2026-02-08,Tasogare Apartment 102,Hotel,$52.10,
,2026-02-09,Tasogare Apartment 103,Hotel,$52.10,
,2026-02-10,Tasogare Apartment 104,Hotel,$52.10,
,2026-02-11,train to sendai,Travel,$228.60,
,2026-02-23,The Strings by InterContinental Tokyo by IHG,Hotel,$0.98,the edit + $250 + $100 reimburse
,2026-02-24,The Strings by InterContinental Tokyo by IHG,Hotel,$0.98,the edit + $250 + $100 reimburse
,2026-02-28,flight to korea,Travel,$0.00,
,2026-03-09,Hilton Garden Inn Seoul Gangnam,Hotel,$17.29,hilton points
,2026-03-10,Hilton Garden Inn Seoul Gangnam,Hotel,$17.29,hilton points
,2026-03-11,Hilton Garden Inn Seoul Gangnam,Hotel,$17.29,hilton points
,2026-03-12,flight home,Travel,$81.11,used delta points
,2026-01-14,milk bar,Food,$37.46,
,2026-01-14,water,Food,$0.94,
,2026-01-14,tacos,Food,$34.97,
,2026-01-15,airport shuttle,Travel,$15.46,
,2026-01-15,public transportation ,Travel,$3.09,
,2026-01-15,water,Food,$2.89,
,2026-01-15,pizza hut,Food,$16.57,
,2026-01-16,free walking tour,Activity,$23.23,
,2026-01-16,dinner,Food,$47.62,
,2026-02-11,APA HOTEL SENDAIEKI-ITSUTSUBASHI,Hotel,$63.04,
,2026-02-12,APA HOTEL SENDAIEKI-ITSUTSUBASHI,Hotel,$63.04,
,2026-02-13,APA HOTEL SENDAIEKI-ITSUTSUBASHI,Hotel,$63.04,
,2026-01-17,slippers,Misc,$15.05,
,2026-01-17,public transportation,Travel,$3.71,
,2026-01-17,thermal bath,Activity,$98.30,
,2026-01-17,public transportation ,Travel,$3.71,
,2026-02-14,train to nasu,Travel,$76.67,
,2026-02-14,Jizaiso,Hotel,$236.78,
,2026-02-15,Jizaiso,Hotel,$236.78,
,2026-02-16,Jizaiso,Hotel,$236.78,
,2026-02-17,Jizaiso,Hotel,$236.78,
,2026-01-17,hot dogs,Food,$5.65,
,2026-01-17,gyro,Food,$10.28,
,2026-01-19,carry on,Travel,$23.00,
,2026-02-25,APA Hotel PRIDE Akasaka Kokkaigijidomae,Hotel,$0.00,
,2026-02-26,APA Hotel PRIDE Akasaka Kokkaigijidomae,Hotel,$0.00,
,2026-02-27,APA Hotel PRIDE Akasaka Kokkaigijidomae,Hotel,$0.00,
,2026-01-18,lunch,Food,$44.43,
,2026-01-18,public transportation ,Travel,$3.80,
,2026-01-19,train to central,Travel,$11.63,
,2026-01-19,early check in,Hotel,$29.07,
,2026-01-19,public transportation,Travel,$9.30,
,2026-01-19,public transportation,Travel,$9.30,
,2026-01-19,mcd,Food,$6.97,
,2026-01-19,penny,Food,$13.80,
,2026-01-19,public transportation,Travel,$6.51,
,2026-01-19,dinner,Food,$95.08,
,2026-01-19,public transportation,Travel,$6.51,
,2026-01-19,grocery,Food,$7.69,
,2026-01-20,aldi,Food,$17.66,
,2026-02-18,Richmond Hotel Utsunomiya Ekimae Annex,Hotel,$74.91,
,2026-02-19,Richmond Hotel Utsunomiya Ekimae Annex,Hotel,$74.91,
,2026-02-20,Richmond Hotel Utsunomiya Ekimae Annex,Hotel,$74.91,
,2026-02-21,Richmond Hotel Utsunomiya Ekimae Annex,Hotel,$74.91,
,2026-02-22,Richmond Hotel Utsunomiya Ekimae Annex,Hotel,$74.91,
,2026-02-18,train to UTSUNOMIYA,Travel,$22.11,
,2026-01-21,luggage hold,Misc,$1.75,
,2026-01-21,doner,Food,$16.27,
,2026-01-21,snack,Food,$6.78,
,2026-01-21,public transportation,Travel,$7.68,
,2026-01-21,rewe,Food,$14.10,
,2026-01-21,burger heroes,Food,$22.13,
,2026-01-22,Miniatur Wunderland,Activity,$52.85,
,2026-01-22,public transportation,Travel,$17.92,
,2026-01-22,lunch,Food,$18.99,
,2026-01-22,aldi,Food,$7.50,
,2026-01-22,burger heroes,Food,$15.03,
,2026-01-22,doner,Food,$16.96,
,2026-01-22,soju,Food,$4.30,
,2026-02-28,Lotte City Hotel Myeongdong,Hotel,$0.00,
,2026-02-23,train to Tokyo,Travel,$56.78,
,2026-03-01,Kama Hotel,Hotel,$36.04,
,2026-03-02,Kama Hotel,Hotel,$36.04,
,2026-03-06,Urbanstay Sokcho Beach AB,Hotel,$45.59,
,2026-03-07,Urbanstay Sokcho Beach AB,Hotel,$45.59,
,2026-03-08,Urbanstay Sokcho Beach AB,Hotel,$45.59,
,2026-03-03,Suncheon Hotel THE H,Hotel,$45.73,
,2026-03-04,Suncheon Hotel THE H,Hotel,$45.73,
,2026-03-05,Suncheon Hotel THE H,Hotel,$45.73,
,2026-03-03,train to Suncheon,Travel,$39.98,
,2026-03-06,train to seoul,Travel,$108.17,
,2026-01-23,noodle dinner,Food,$33.86,
,2026-01-23,aldi,Food,$11.89,
,2026-01-24,burger,Food,$23.91,
,2026-01-24,public transportation ,Food,$7.72,
,2026-01-24,notebook,Misc,$1.16,
,2026-01-24,dinner,Food,$29.59,
,2026-01-24,water,Food,$3.41,
,2026-01-25,mcd,Food,$13.29,
,2026-01-25,uber eats,Food,$32.74,
,2026-01-26,snack,Food,$6.43,
,2026-01-26,beer,Food,$4.53,
,2026-01-26,groceries,Food,$49.88,
,2026-01-27,public transportation,Travel,$8.10,
,2026-01-27,grims museum,Activity,$23.82,
,2026-01-27,public transportation,Travel,$8.10,
,2026-01-28,bratwurst,Food,$15.71,
,2026-01-28,edeka,Food,$22.55,
,2026-01-28,old fashioned,Food,$17.43,
,2026-01-29,uber,Travel,$28.63,
,2026-01-30,ic charge,Travel,$130.36,
,2026-01-30,family Mart,Food,$8.40,
,2026-01-31,sushi,Food,$42.06,
,2026-01-31,7 eleven,Food,$21.90,
,2026-02-01,7 eleven,Food,$11.00,
,2026-02-01,a coop,Food,$23.79,
,2026-02-02,hakone pass,Activity,$78.50,
,2026-02-02,water,Food,$0.85,
,2026-02-02,eggs,Food,$3.26,
,2026-02-02,chicken lunch,Food,$21.95,
,2026-02-02,open air museum,Activity,$24.86,
,2026-02-02,a coop,Food,$23.30,
,2026-02-03,7 Eleven,Food,$12.52,
,2026-02-03,7 eleven,Food,$2.10,
,2026-02-03,dinner,Food,$45.69,
,2026-02-03,airport bus,Travel,$13.69,
,2026-02-04,lunch,Food,$25.97,
,2026-02-05,bus,Travel,$4.30,
,2026-02-05,prison museum,Activity,$13.27,
,2026-02-05,lunch,Food,$13.69,
,2026-02-05,laundry,Misc,$3.91,
,2026-02-05,bus,Travel,$4.30,
,2026-02-05,grocery,Food,$28.39,
,2026-02-05,fish stuff,Food,$2.61,
,2026-02-06,grocery,Food,$15.45,
,2026-02-07,locker storage,Food,$2.56,
,2026-02-07,beef tongue lunch,Food,$30.73,
,2026-02-07,bakery,Food,$4.60,
,2026-02-07,don don donkey,Misc,$27.55,
,2026-02-07,bakery,Food,$11.94,
,2026-02-07,taxi,Travel,$9.78,
,2026-02-08,lunch bowl,Food,$40.77,
,2026-02-08,monkey botanical garden,Activity,$5.21,
,2026-02-08,groceries,Food,$37.51,
,2026-02-09,Chinese Burger,Food,$11.90,
,2026-02-10,otoro,Food,$11.08,
,2026-02-10,haircut,Misc,$9.78,
,2026-02-10,sushi lunch,Food,$24.82,
,2026-02-10,ropeway,Activity,$23.15,
,2026-02-10,7 eleven,Food,$1.74,
,2026-02-10,ic recharge,Travel,$65.18,
,2026-02-10,strawberry drinks,Food,$7.72,
,2026-02-10,lucky pierrot,Food,$8.17,
,2026-02-11,strawberry drink,Food,$3.26,
,2026-02-11,7 eleven,Food,$12.37,
,2026-02-11,red bean butter,Food,$2.15,
,2026-02-11,beer,Food,$2.24,
,2026-02-11,beef tongue dinner,Food,$60.20,
