Day,Date,Flag,County,City,Description,Comments,Food,Travel,Hotel
54,2025-04-19,,China,Beijing,,,,,XIHE HOTEL
55,2025-04-20,,China,Beijing,Great Wall of China,,,,XIHE HOTEL
56,2025-04-21,,China,Xi'An,,Train @ 9:55am,,,Licheng Hotel Yi
57,2025-04-22,,China,Xi'An,"Emperor Qinshihuang's Mausoleum Site Museum
",,,,Licheng Hotel Yi
58,2025-04-23,,China,Xi'An,,,,,Licheng Hotel Yi
59,2025-04-24,,China,Beijing,,Train @ 12:05am,,,Jinjiang Inn Style Hotel
60,2025-04-25,,Taiwan,Taipei,,Used IHG free hotel,,PEK - TPE,Hotel Indigo Taipei North
61,2025-04-26,,Taiwan,Taipei ,,,,,Eastin-Taipei Hotel
62,2025-04-27,,Taiwan,Kaohsiung ,,13:31 Taipei 15:05 Zuoying,,,HOTEL LEISURE Kaohsiung
63,2025-04-28,,Taiwan,Kaohsiung ,,,,,HOTEL LEISURE Kaohsiung
64,2025-04-29,,Taiwan,Green Island,,09:27 Kaohsiung  11:32 Taitung,,,綠島藍漾海墅 Lan Yang sea villa
65,2025-04-30,,Taiwan,Green Island,Snorkeling at Blue Cave,,,,綠島藍漾海墅 Lan Yang sea villa
66,2025-05-01,,Taiwan,Green Island,Zhaori Hot Springs,,,,綠島藍漾海墅 Lan Yang sea villa
67,2025-05-02,,Taiwan,Hualien,,13:05 Taitung  14:34 Hualien,,,Lakeshore Hotel Hualien
68,2025-05-03,,Taiwan,Hualien,,,,,Lakeshore Hotel Hualien
69,2025-05-04,,Taiwan,Jiaoxi,,13:27 Hualien  14:38 Yilan,,,Wellspring by Silks Jiaoxi
70,2025-05-05,,Taiwan,Jiaoxi,,,,,Wellspring by Silks Jiaoxi
71,2025-05-06,,Taiwan,Taipei,,13:56 Yilan  15:13 Taipei,,,北車尊榮六人房 Taipei station 6-person 3Room
72,2025-05-07,,Taiwan,Taipei,,,,,北車尊榮六人房 Taipei station 6-person 3Room
73,2025-05-08,,Taiwan,Taipei,Spirited Away village,,,,北車尊榮六人房 Taipei station 6-person 3Room
74,2025-05-09,,Hong Kong,Hong Kong,,,,TPE - HKG,Hotel Alexandra
75,2025-05-10,,Hong Kong,Hong Kong,,Central-Mid-Levels Escalator,,,Hotel Alexandra
76,2025-05-11,,Hong Kong,Hong Kong,The Peak,Avenue of Stars,,,Hotel Alexandra
77,2025-05-12,,Hong Kong,Hong Kong,,,,,Hotel Alexandra
78,2025-05-13,,Macao,Macao,,TurboJet @ 12:30pm,,,Rio Hotel Macau
79,2025-05-14,,Macao,Macao,,,,,Rio Hotel Macau
80,2025-05-15,,China,Shenzhen,Teeth cleaning,TurboJet @ 12:30pm,,,Maker Hotel
81,2025-05-16,,China,Shenzhen,Spa day,,,,Maker Hotel
82,2025-05-17,,China,Shenzhen,Window of the World,,,,Maker Hotel
83,2025-05-18,,China,Shenzhen,,,,,Maker Hotel
84,2025-05-19,,Japan,Okinawa,,Train @ 11:00am and flight @ 3:50pm,,HKG - OKA,Nest Hotel Naha Kumoji
85,2025-05-20,,Japan,Okinawa,,,,,Nest Hotel Naha Kumoji
86,2025-05-21,,Japan,Okinawa,,,,,Nest Hotel Naha Kumoji
87,2025-05-22,,Japan,Okinawa,Zamami Island,,,,Nest Hotel Naha Kumoji
88,2025-05-23,,Japan,Fukuoka,,,,OKA - FUK,GRAND BASE Haruyoshi
89,2025-05-24,,Japan,Fukuoka,,,,,GRAND BASE Haruyoshi
90,2025-05-25,,Japan,Hiroshima,Hiroshima Peace Memorial Museum,"Nozomi 152
12:06 Hakata - 13:11 Hiroshima",,,Smile Hotel Hiroshima
91,2025-05-26,,Japan,Osaka,,"Nozomi 28
13:18 Hiroshima - 14:43 Shin-Osaka",,,Kuromon Crystal Hotel
92,2025-05-27,,Japan,Osaka,,,,,Kuromon Crystal Hotel
93,2025-05-28,,Japan,Osaka,Osaka Castle and Kobe day trip,,Kobe (RIP) @ 5pm,,Kuromon Crystal Hotel
94,2025-05-29,,Japan,Sapporo,,Fly,,KIX - CTS,Quintessa Hotel Sapporo Susukino
95,2025-05-30,,Japan,Sapporo,,,,,Quintessa Hotel Sapporo Susukino
96,2025-05-31,,Japan,Sapporo,Sapporo Beer Museum,,,,Quintessa Hotel Sapporo Susukino
97,2025-06-01,,Japan,Jozankeionsennishi,,,,,Jozankei View Hotel
98,2025-06-02,,Japan,Jozankeionsennishi,,,,,Jozankei View Hotel
99,2025-06-03,,Japan,Kyoto,,Fly and Train,,CTS - KIX,Miyako Hotel Kyoto Hachijo
100,2025-06-04,,Japan,Kyoto,Nintendo Museum @ 4:00pm,,,,Miyako Hotel Kyoto Hachijo
101,2025-06-05,,Japan,Kyoto,,Nintendo Switch 2 release,,,Miyako Hotel Kyoto Hachijo
102,2025-06-06,,Japan,Kyoto,,,,,LOISIR HOTEL KYOTO TOJI
103,2025-06-07,,Japan,Kyoto,,,,,LOISIR HOTEL KYOTO TOJI
104,2025-06-08,,Japan,Kii-Tanabe,,Train from Osaka to Kii-Tanabe @ 13:18,,,Hotel Kii Tanabe
105,2025-06-09,,Japan,Takahara,Kumano Kodo Trail,,,,Guest House & Coffee Keyaki
106,2025-06-10,,Japan,Chikatsuyu,Kumano Kodo Trail,,,,Minpaku Matsuri
107,2025-06-11,,Japan,Hongu,Kumano Kodo Trail,,,,Guesthouse Yunosato
108,2025-06-12,,Japan,Katsuura,Kumano Kodo Trail,,,,Hotel Charmant
109,2025-06-13,,Japan,Osaka,Kumano Kodo Trail,Train from Kii-Tanabe to Osaka @ 17:32,,,Shin Osaka Washington Hotel Plaza
110,2025-06-14,,Japan,Nagoya ,,Train from Osaka to Nagoya,,,APA Hotel Nagoya Ekimae
111,2025-06-15,,Japan,Nagoya ,,,,,APA Hotel Nagoya Ekimae
112,2025-06-16,,Japan,Nagoya ,,,Shirakawa Meiekiten @ 11:30,,APA Hotel Nagoya Ekimae
113,2025-06-17,,Japan,Tokyo,,Train from Nagoya to Tokyo,,,THE KANZASHI TOKYO ASAKUSA
114,2025-06-18,,Japan,Tokyo,,,,,THE KANZASHI TOKYO ASAKUSA
115,2025-06-19,,Japan,Tokyo,Studio Ghibli @ 12:00pm,,,,THE KANZASHI TOKYO ASAKUSA
116,2025-06-20,,Japan,Tokyo,,"Imperial Palace
Tsukiji Outer Market",,,THE KANZASHI TOKYO ASAKUSA
117,2025-06-21,,Japan,Tokyo,,Shibuya Crossing,Sushi Naoki @ 12:00,,APA Hotel & Resort Roppongi Ekihigashi
118,2025-06-22,,Japan,Tokyo,,,,,APA Hotel & Resort Roppongi Ekihigashi
119,2025-06-23,,Japan,Tokyo,teamLabs Planets @ 17:30,,,,APA Hotel & Resort Roppongi Ekihigashi
120,2025-06-24,,Japan,Tokyo,,,,,APA Hotel & Resort Roppongi Ekihigashi
121,2025-06-25,,South Korea,Seoul,,,,NRT - ICN,Hotel First Stay Myeongdong
122,2025-06-26,,South Korea,Seoul,Consultations,,,,Hotel First Stay Myeongdong
123,2025-06-27,,South Korea,Seoul,Jamsil Baseball Stadium @ 18:30,Get tickets at 16:30,,,Hotel First Stay Myeongdong
124,2025-06-28,,South Korea,Seoul,ColorVision @ 12:00,,,,Hotel First Stay Myeongdong
125,2025-06-29,,South Korea,Seoul,,"Secret Garden @ 10:30
Myeongdong Nanta @ 14:00",,,Hotel First Stay Myeongdong
126,2025-06-30,,South Korea,Seoul,Surgery @ 16:00,F1 Movie,,,WECOSTAY Gangnam
127,2025-07-01,,South Korea,Seoul,,,,,WECOSTAY Gangnam
128,2025-07-02,,South Korea,Seoul,,,,,WECOSTAY Gangnam
129,2025-07-03,,South Korea,Seoul,,,,,WECOSTAY Gangnam
130,2025-07-04,,South Korea,Busan,,Seoul - Busan @ 13:58,,,Elmomento Osiria Residence
131,2025-07-05,,South Korea,Busan,,,,,Elmomento Osiria Residence
132,2025-07-06,,South Korea,Busan,,,,,Elmomento Osiria Residence
133,2025-07-07,,South Korea,Busan,,,,,Elmomento Osiria Residence
134,2025-07-08,,South Korea,Seoul,,Busan - Suseo @ 12:40,,,Hotel Peyto Samseong
135,2025-07-09,,Uzbekistan,Tashkent,,,,ICN–TAS,Manifa Hotel
136,2025-07-10,,Uzbekistan,Tashkent,,,,,Manifa Hotel
137,2025-07-11,,Uzbekistan,Tashkent,"Tashkent: Amirsoy Resort, Chimgan Mountain and Charvak Lake",,,,Manifa Hotel
138,2025-07-12,,Uzbekistan,Samarkand,,Tashkent - Samarkand @ 8:40 Train,,,Medina Hotel Samarkand
139,2025-07-13,,Uzbekistan,Samarkand,Cultural day,,,,Medina Hotel Samarkand
140,2025-07-14,,Uzbekistan,Tashkent,,Samarkand - Tashkent @ 19:35 Train,,,Ramada Encore by Wyndham Tashkent
141,2025-07-15,,Kazakhstan,Almaty,,,,TAS - ALA,ADT apartments
142,2025-07-16,,Kazakhstan,Almaty,,,,,ADT apartments
143,2025-07-17,,Kazakhstan,Almaty,,,,,ADT apartments
144,2025-07-18,,Kazakhstan,Almaty,,,,,ADT apartments
145,2025-07-19,,Kazakhstan,Saty,2-Day Tour to Kolsai-Kaindy Lakes and Charyn Canyon,,,,Guesthouse
146,2025-07-20,,Kazakhstan,Almaty,,,,,ADT apartments
147,2025-07-21,,Kazakhstan,Almaty,,,,,ADT apartments
148,2025-07-22,,Kazakhstan,Almaty,,,,,ADT apartments
149,2025-07-23,,Kyrgyzstan,Bishkek,,,,ALA - FRU,Discovery Hotel
150,2025-07-24,,Kyrgyzstan,Kyzart,Tour @ 8:00,Song-Kul,,,Yurt camp
151,2025-07-25,,Kyrgyzstan,Kyzart,Tour,,,,Yurt camp
152,2025-07-26,,Kyrgyzstan,Bishkek,Return from Tour @ 18:00,,,,"RIVIERA apartment near complex TSUM and GUM
42°52'29.2""N 74°36'34.3""E"
153,2025-07-27,,Kyrgyzstan,Bishkek,,,,,"RIVIERA apartment near complex TSUM and GUM
42°52'29.2""N 74°36'34.3""E"
154,2025-07-28,,Kyrgyzstan,Bishkek,,,,,"RIVIERA apartment near complex TSUM and GUM
42°52'29.2""N 74°36'34.3""E"
155,2025-07-29,,United Arab Emirates,Dubai,,,,FRU - SHJ,Elite Downtown Residence 1
156,2025-07-30,,United Arab Emirates,Dubai,Burj Khalifa and Aquarium,,,,Elite Downtown Residence 1
157,2025-07-31,,United Arab Emirates,Dubai,Dubai Frame,,,,Elite Downtown Residence 1
158,2025-08-01,,United Arab Emirates,Dubai,,,,,Elite Downtown Residence 1
159,2025-08-02,,United Arab Emirates,Dubai,,,,,Elite Downtown Residence 1
160,2025-08-03,,Oman,Muscat,,,,SHJ - MCT,Muscat Oasis Residences
161,2025-08-04,,Oman,Muscat,Daymaniyat Islands Snorkeling Tour @ 8:15,,,,Muscat Oasis Residences
162,2025-08-05,,Oman,Muscat,Wadi Shab and Bimmah Sinkhole Group Full Day Tour,,,,Muscat Oasis Residences
163,2025-08-06,,Oman,Salalah,,,,MCT - SLL,"Muscat International Hotel Plaza Salalah"
164,2025-08-07,,Oman,Salalah,,,,,"Muscat International Hotel Plaza Salalah"
165,2025-08-08,,Oman,Salalah,"Salalah: Wadi Derbat, Jabal Samhan, & Sinkhole Anti gravity",,,,"Muscat International Hotel Plaza Salalah"
166,2025-08-09,,Oman,Salalah,,,,,"Muscat International Hotel Plaza Salalah"
167,2025-08-10,,Oman,Muscat,,,,SLL - MCT,Muscat Oasis Residences
168,2025-08-11,,Kenya,Nairobi,,,,MCT - NBO,Best Western Plus Meridian Hotel
169,2025-08-12,,Kenya,Masai Mara NR,Safari,,,,Lenchada Tourist Camp
170,2025-08-13,,Kenya,Masai Mara NR,Safari,,,,Lenchada Tourist Camp
171,2025-08-14,,Kenya,Lake Nakuru NP,Safari,,,,Legacy Hotel
172,2025-08-15,,Kenya,Amboseli NP,Safari,,,,Nyati Safari Camp
173,2025-08-16,,Kenya,Amboseli NP,Safari,,,,Nyati Safari Camp
174,2025-08-17,,Tanzania,Arusha,Safari,,,,The Charity Hotel
175,2025-08-18,,Tanzania,Serengeti NP,Safari,,,,Seronera Public Campsites
176,2025-08-19,,Tanzania,Ngorongoro Crater,Safari,,,,Ngorongoro Simba Campsite A
177,2025-08-20,,Tanzania,Arusha,Safari,,,,The Charity Hotel
178,2025-08-21,,Kenya,Nairobi,,,,,"Smart Homes Airbnbs Kilimani, Nairobi"
179,2025-08-22,,Kenya,Nairobi,,,,,"Smart Homes Airbnbs Kilimani, Nairobi"
180,2025-08-23,,United Arab Emirates,Airport,,,,NBO - SHJ,Sharjah International Airport Hotel
181,2025-08-24,,Maldives,Male,,,,SHJ - MLE,Hotel Flora Male Maldives
182,2025-08-25,,Maldives,Male,,,,,Hotel Flora Male Maldives
183,2025-08-26,,Maldives,Raa Atoll,,92250 IHG points,,,InterContinental Maldives Maamunagau Resort
184,2025-08-27,,Maldives,Raa Atoll,,92250 IHG points,,,InterContinental Maldives Maamunagau Resort
185,2025-08-28,,Maldives,Raa Atoll,,92250 IHG points,,,InterContinental Maldives Maamunagau Resort
186,2025-08-29,,Maldives,Raa Atoll,,92250 IHG points,,,InterContinental Maldives Maamunagau Resort
187,2025-08-30,,Malaysia,Kuala Lumpur,,,,MLE - KUL,"Tune Hotel KLIA-KLIA2, Airport Transit Hotel"
188,2025-08-31,,Philippines,Manila,Draft day @ 6:00 (18:00 EST the day before) Maldives time,,,KUL - MNL,St Giles Makati – A St Giles Hotel
189,2025-09-01,,Philippines,Manila,,,,,St Giles Makati – A St Giles Hotel
190,2025-09-02,,Philippines,Puerto Princesa City,,,,MNL - PPS,Carpe Diem Hotel and Villas Palawan
191,2025-09-03,,Philippines,Puerto Princesa City,,,,,Carpe Diem Hotel and Villas Palawan
192,2025-09-04,,Philippines,Puerto Princesa City,Puerto Princesa: Underground River Full-Day Trip,,,,Carpe Diem Hotel and Villas Palawan
193,2025-09-05,,Philippines,Puerto Princesa City,,,,,Carpe Diem Hotel and Villas Palawan
194,2025-09-06,,Philippines,Puerto Princesa City,,,,,Carpe Diem Hotel and Villas Palawan
195,2025-09-07,,Philippines,Cebu,,,,PPS - CEB,Quest Hotel and Conference Center Cebu
196,2025-09-08,,Philippines,Cebu,Whale Shark Swimming and Kawasan Canyoneering Group,,,,Quest Hotel and Conference Center Cebu
197,2025-09-09,,Philippines,Cebu,Vikings game,,,,Quest Hotel and Conference Center Cebu
198,2025-09-10,,Philippines,Cebu,,,,,Quest Hotel and Conference Center Cebu
199,2025-09-11,,Philippines,Cebu,,,,,Quest Hotel and Conference Center Cebu
200,2025-09-12,,South Korea,Seoul,,,,CEB - ICN,Hotel Forestar 2
201,2025-09-13,,South Korea,Seoul,Laser @ 13:30,,,,Hotel Forestar 2
202,2025-09-14,,South Korea,Seoul,,,,,Hotel Forestar 2
203,2025-09-15,,South Korea,Seoul,Appointment @ 14:00,,,,Hotel Forestar 2
204,2025-09-16,,South Korea,Sokcho,,Bus,,,Urbanstay Sokcho Beach AB
205,2025-09-17,,South Korea,Sokcho,,,,,Urbanstay Sokcho Beach AB
206,2025-09-18,,South Korea,Sokcho,,,,,Urbanstay Sokcho Beach AB
207,2025-09-19,,South Korea,Sokcho,,,,,Urbanstay Sokcho Beach AB
208,2025-09-20,,South Korea,Seoul,,Bus,,,Yeoksam Artnouveau City Hotel and Residence
209,2025-09-21,,South Korea,Seoul,,,,,Yeoksam Artnouveau City Hotel and Residence
210,2025-09-22,,Indonesia,Jakarta,Appointment @ 10:00,,,ICN - CGK,Airport
211,2025-09-23,,Indonesia,Jakarta,,,,,Ashley Tugu Tani
212,2025-09-24,,Indonesia,Jakarta,,,,,Ashley Tugu Tani
213,2025-09-25,,Indonesia,Jakarta,,,August @ 17:30,,Ashley Tugu Tani
214,2025-09-26,,Indonesia,Lombok,,,,CGK - LOP,Matahari Inn
215,2025-09-27,,Indonesia,Lombok,,,,,Matahari Inn
216,2025-09-28,,Indonesia,Lombok,Private driver,,,,Matahari Inn
217,2025-09-29,,Indonesia,Lombok,,,,,Matahari Inn
218,2025-09-30,,Indonesia,Lombok,Snorkeling tour @ 06:00,,,,Matahari Inn
219,2025-10-01,,Indonesia,Jakarta,,,,LOP - CGK,THE 1O1 Jakarta Airport CBC
220,2025-10-02,,Singapore,Singapore,,,,CGK - SIN,Hotel 81 Lavender
221,2025-10-03,,Singapore,Singapore,F1 Grand Prix,,,,Hotel 81 Lavender
222,2025-10-04,,Singapore,Singapore,F1 Grand Prix,,,,Hotel 81 Lavender
223,2025-10-05,,Singapore,Singapore,F1 Grand Prix,,,,Hotel 81 Lavender
224,2025-10-06,,Vietnam,Hanoi,,,,SIN - HAN,Dcapitale - Feria Homes
225,2025-10-07,,Vietnam,Hanoi,,,,,Dcapitale - Feria Homes
226,2025-10-08,,Vietnam,Sapa,,book bus (girl),,,DeLaSol Sapa Hotel
227,2025-10-09,,Vietnam,Sapa ,Sapa Walking tour,,,,Homestay
228,2025-10-10,,Vietnam,Sapa,Sapa Walking tour,,,,Homestay
229,2025-10-11,,Vietnam,Sapa ,,,,,DeLaSol Sapa Hotel
230,2025-10-12,,Vietnam,Sapa ,,,,,DeLaSol Sapa Hotel
231,2025-10-13,,Vietnam,Ha Giang ,,book bus (girl),,,YEN BIEN LUXURY HOTEL
232,2025-10-14,,Vietnam,Ha Giang,Ha Giang loop tour,,,,Homestay
233,2025-10-15,,Vietnam,Ha Giang ,Ha Giang loop tour,,,,Homestay
234,2025-10-16,,Vietnam,Ha Giang,Ha Giang loop tour,,,,Homestay
235,2025-10-17,,Vietnam,Ha Giang,,,,,Sleeper bus
236,2025-10-18,,Vietnam,Cat Ba,,book bus (girl),,,Flamingo Cat Ba Resorts
237,2025-10-19,,Vietnam,Cat Ba,,,,,Flamingo Cat Ba Resorts
238,2025-10-20,,Vietnam,Cat Ba,,,,,Flamingo Cat Ba Resorts
239,2025-10-21,,Vietnam,Hanoi,,book bus (girl),,,Dcapitale - Feria Homes
240,2025-10-22,,Vietnam,Dalat,,,,HAN - DLI,Airbnb
241,2025-10-23,,Vietnam,Dalat,,,,,Airbnb
242,2025-10-24,,Vietnam,Dalat,,,,,Airbnb
243,2025-10-25,,Vietnam,Mu Ne,,,,,Airbnb
244,2025-10-26,,Vietnam,Mu Ne,,,,,Airbnb
245,2025-10-27,,Vietnam,Mu Ne,Sand dunes,,,,Airbnb
246,2025-10-28,,Vietnam,Ho Chi Minh City ,,,,,Airbnb
247,2025-10-29,,Vietnam,Ho Chi Minh City,,,,,Airbnb
248,2025-10-30,,Vietnam,Ho Chi Minh City,,,,,LuxHomes Saigon - Vinhomes Central Park
249,2025-10-31,,Vietnam,Ho Chi Minh City,,,,,LuxHomes Saigon - Vinhomes Central Park
250,2025-11-01,,Vietnam,Ho Chi Minh City,,,,,LuxHomes Saigon - Vinhomes Central Park
251,2025-11-02,,Vietnam,Ho Chi Minh City,,,,,Airbnb
252,2025-11-03,,Vietnam,Ho Chi Minh City,,,,,Airbnb
253,2025-11-04,,China,Shanghai,,,,SGN - PVG,Rais Apartment Hotel (Shanghai Bund Store)
254,2025-11-05,,China,Shanghai,,,,,Rais Apartment Hotel (Shanghai Bund Store)
255,2025-11-06,,China,Shanghai,,,,,Rais Apartment Hotel (Shanghai Bund Store)
256,2025-11-07,,China,Shanghai,ERA Intersection of Time Acrobatic Show,,,,Rais Apartment Hotel (Shanghai Bund Store)
257,2025-11-08,,China,Shanghai,,,,,Rais Apartment Hotel (Shanghai Bund Store)
258,2025-11-09,,China,Shanghai,,,,,Rais Apartment Hotel (Shanghai Bund Store)
259,2025-11-10,,China,Beijing,,10:00 -> 14:26 (train),,,Dequan Luxury Hotel (Chaoyang High speed Railway Station Shilibao Subway Station Branch)
260,2025-11-11,,China,Beijing,,,,,Dequan Luxury Hotel (Chaoyang High speed Railway Station Shilibao Subway Station Branch)
261,2025-11-12,,China,Beijing,Forbidden City,,,,Dequan Luxury Hotel (Chaoyang High speed Railway Station Shilibao Subway Station Branch)
262,2025-11-13,,China,Beijing,Great Wall (parents),,,,Dequan Luxury Hotel (Chaoyang High speed Railway Station Shilibao Subway Station Branch)
263,2025-11-14,,China,Beijing,,,,,Dequan Luxury Hotel (Chaoyang High speed Railway Station Shilibao Subway Station Branch)
264,2025-11-15,,China,Emeishan,,16:53 - 18:09 (train),,PKX - TFU,Yunfuli Yunsu·Emeishan Yunshuiju Private Hot Spring B&B
265,2025-11-16,,China,Emeishan,,,,,Yunfuli Yunsu·Emeishan Yunshuiju Private Hot Spring B&B
266,2025-11-17,,China,Emeishan,,,,,Yunfuli Yunsu·Emeishan Yunshuiju Private Hot Spring B&B
267,2025-11-18,,China,Emeishan,,,,,Yunfuli Yunsu·Emeishan Yunshuiju Private Hot Spring B&B
268,2025-11-19,,China,Chengdu,,11:55 -> 12:47 (train),,,The St. Regis Chengdu
269,2025-11-20,,China,Chengdu,Chengdu Research Base of Giant Panda Breeding,,,,The St. Regis Chengdu
270,2025-11-21,,China,Chengdu,,,The Bridge @ 18:30,,The St. Regis Chengdu
271,2025-11-22,,Italy,,,,,TFU - FCO,
272,2025-11-23,,Italy,Sorrento,,11:36-> 14:28 (train),,,Sorrento Belvedere B&B
273,2025-11-24,,Italy,Sorrento,,,,,Sorrento Belvedere B&B
274,2025-11-25,,Italy,Sorrento ,,,,,Sorrento Belvedere B&B
275,2025-11-26,,Italy,Sorrento ,Pompei,,,,Sorrento Belvedere B&B
276,2025-11-27,,Italy,Rome,,11:30 -> 12:39 (train),,,Hotel Taormina
277,2025-11-28,,Italy,Rome,,,,,Hotel Taormina
278,2025-11-29,,Italy,Rome,,,,,Hotel Taormina
279,2025-11-30,,Italy,Rome,,,,,Hotel Taormina
280,2025-12-01,,Italy,Lake Como,,10:50 -> 15:01 (train),,,NH Lecco Pontevecchio
281,2025-12-02,,Italy,Lake Como,,,,,NH Lecco Pontevecchio
282,2025-12-03,,Italy,Lake Como,,,,,NH Lecco Pontevecchio
283,2025-12-04,,Italy,Milan,,11:01 -> 11:40 (train),,,NH Milano Congress Centre
284,2025-12-05,,Italy,Milan,,,,,NH Milano Congress Centre
285,2025-12-06,,Italy,Milan,,,,,NH Milano Congress Centre
286,2025-12-07,,France,Nice,,"11:10 -> 14:54 (train)
15:47 -> 16:43 (train)",,,Hotel 64
287,2025-12-08,,France,Nice,Monaco day trip,,,,Hotel 64
288,2025-12-09,,France,Annecy,,"9:20 -> 16:20 (bus)
17:40 -> 19:30 (bus)",,,Best Western Plus Hotel Carlton
289,2025-12-10,,France,Annecy,,,,,Best Western Plus Hotel Carlton
290,2025-12-11,,France,Annecy,,,,,Best Western Plus Hotel Carlton
291,2025-12-12,,France,Strasbourg,,"7:43 -> 8:23 (train)
8:41 -> 9:52 (train)
11:38 -> 15:54 (train)",,,Hôtel d'Alsace
